,player,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
70,Jake Meyers,0.22413793103448276,0.034482758620689655,0.0,0.0
71,James Wood,0.2727272727272727,0.030303030303030304,0.015151515151515152,0.0
72,Jarred Kelenic,0.11904761904761904,0.023809523809523808,0.023809523809523808,0.0
73,Javier Baez,0.17307692307692307,0.11538461538461539,0.038461538461538464,0.019230769230769232
74,Jhonkensy Noel,0.21428571428571427,0.05357142857142857,0.03571428571428571,0.017857142857142856
75,Joc Pederson,0.22641509433962265,0.09433962264150944,0.0,0.0
76,Joey Bart,0.30612244897959184,0.16326530612244897,0.061224489795918366,0.02040816326530612
77,Joey Ortiz,0.24489795918367346,0.08163265306122448,0.04081632653061224,0.0
78,Jonah Heim,0.21428571428571427,0.047619047619047616,0.023809523809523808,0.0
79,Jonathan India,0.20689655172413793,0.017241379310344827,0.0,0.0
80,Jordan Walker,0.1935483870967742,0.16129032258064516,0.03225806451612903,0.0
81,Jorge Soler,0.21153846153846154,0.038461538461538464,0.0,0.0
82,Jose Altuve,0.1694915254237288,0.06779661016949153,0.01694915254237288,0.0
83,Jose Caballero,0.15517241379310345,0.05172413793103448,0.017241379310344827,0.017241379310344827
84,Jose Iglesias,0.13513513513513514,0.02702702702702703,0.0,0.0
85,Josh Jung,0.12121212121212122,0.030303030303030304,0.0,0.0
86,Josh Naylor,0.3333333333333333,0.14285714285714285,0.031746031746031744,0.015873015873015872
87,Josh Rojas,0.07352941176470588,0.014705882352941176,0.0,0.0
88,Julio Rodriguez,0.2857142857142857,0.14285714285714285,0.0,0.0
89,Jung Hoo Lee,0.3111111111111111,0.1111111111111111,0.06666666666666667,0.022222222222222223
90,Keibert Ruiz,0.22641509433962265,0.07547169811320754,0.018867924528301886,0.0
91,Kerry Carpenter,0.30952380952380953,0.14285714285714285,0.047619047619047616,0.0
92,Korey Lee,0.17647058823529413,0.029411764705882353,0.0,0.0
93,Kyle Isbel,0.1702127659574468,0.0425531914893617,0.02127659574468085,0.0
94,Kyle Schwarber,0.36666666666666664,0.16666666666666666,0.08333333333333333,0.016666666666666666
95,Kyle Stowers,0.19047619047619047,0.07142857142857142,0.023809523809523808,0.0
96,LaMonte Wade Jr.,0.19642857142857142,0.10714285714285714,0.017857142857142856,0.0
97,Lane Thomas,0.21568627450980393,0.058823529411764705,0.0,0.0
98,Lars Nootbaar,0.24193548387096775,0.08064516129032258,0.04838709677419355,0.016129032258064516
99,Lawrence Butler,0.26666666666666666,0.08333333333333333,0.03333333333333333,0.03333333333333333
100,Logan O'Hoppe,0.2033898305084746,0.06779661016949153,0.01694915254237288,0.01694915254237288
101,Lourdes Gurriel Jr.,0.3333333333333333,0.09259259259259259,0.037037037037037035,0.0
102,Luis Garcia Jr.,0.22413793103448276,0.06896551724137931,0.034482758620689655,0.017241379310344827
103,Luis Robert Jr.,0.19642857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571
104,MJ Melendez,0.15151515151515152,0.06060606060606061,0.06060606060606061,0.0
105,Maikel Garcia,0.2037037037037037,0.0,0.0,0.0
106,Manny Machado,0.3877551020408163,0.16326530612244897,0.061224489795918366,0.04081632653061224
107,Masyn Winn,0.24528301886792453,0.11320754716981132,0.0,0.0
108,Matt Chapman,0.29850746268656714,0.14925373134328357,0.029850746268656716,0.0
109,Mauricio Dubon,0.15555555555555556,0.06666666666666667,0.0,0.0
110,Max Kepler,0.20930232558139536,0.06976744186046512,0.023255813953488372,0.023255813953488372
111,Max Schuemann,0.07692307692307693,0.019230769230769232,0.019230769230769232,0.0
112,Michael A. Taylor,0.11627906976744186,0.06976744186046512,0.023255813953488372,0.0
113,Michael Massey,0.22916666666666666,0.041666666666666664,0.020833333333333332,0.0
114,Michael Toglia,0.21333333333333335,0.09333333333333334,0.02666666666666667,0.0
115,Mike Yastrzemski,0.23333333333333334,0.15,0.06666666666666667,0.016666666666666666
116,Noelvi Marte,0.175,0.05,0.0,0.0
117,Oneil Cruz,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.0
118,Oswaldo Cabrera,0.08571428571428572,0.02857142857142857,0.0,0.0
119,Ozzie Albies,0.2903225806451613,0.06451612903225806,0.06451612903225806,0.0
120,Pavin Smith,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.030303030303030304
121,Ramon Laureano,0.2222222222222222,0.05555555555555555,0.027777777777777776,0.0
122,Randy Arozarena,0.27419354838709675,0.08064516129032258,0.06451612903225806,0.016129032258064516
123,Riley Greene,0.3333333333333333,0.11764705882352941,0.0784313725490196,0.0
124,Ryan Jeffers,0.26,0.08,0.02,0.02
125,Ryan McMahon,0.2597402597402597,0.012987012987012988,0.0,0.0
126,Ryan O'Hearn,0.22916666666666666,0.0625,0.03125,0.0
127,Sal Frelick,0.1590909090909091,0.022727272727272728,0.0,0.0
128,Salvador Perez,0.26785714285714285,0.125,0.05357142857142857,0.017857142857142856
129,Santiago Espinal,0.19148936170212766,0.10638297872340426,0.0,0.0
