,player,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over
66,Jackson Merrill,0.5,0.28,0.1,0.02
67,Jacob Young,0.1896551724137931,0.034482758620689655,0.017241379310344827,0.0
68,Jake Fraley,0.17647058823529413,0.058823529411764705,0.0,0.0
69,Jake McCarthy,0.38235294117647056,0.11764705882352941,0.0,0.0
70,Jake Meyers,0.3,0.1,0.04,0.02
71,James Wood,0.39285714285714285,0.23214285714285715,0.07142857142857142,0.05357142857142857
72,Jarred Kelenic,0.23076923076923078,0.07692307692307693,0.02564102564102564,0.0
73,Javier Baez,0.3,0.175,0.05,0.05
74,Jhonkensy Noel,0.25,0.1388888888888889,0.027777777777777776,0.0
75,Joc Pederson,0.26666666666666666,0.06666666666666667,0.022222222222222223,0.0
76,Joey Bart,0.34210526315789475,0.02631578947368421,0.0,0.0
77,Joey Ortiz,0.2641509433962264,0.05660377358490566,0.018867924528301886,0.0
78,Jonah Heim,0.28,0.14,0.02,0.0
79,Jonathan India,0.22,0.12,0.02,0.02
80,Jordan Walker,0.3225806451612903,0.0967741935483871,0.03225806451612903,0.0
81,Jorge Soler,0.4,0.16,0.1,0.02
82,Jose Altuve,0.391304347826087,0.08695652173913043,0.021739130434782608,0.0
83,Jose Caballero,0.358974358974359,0.07692307692307693,0.02564102564102564,0.02564102564102564
84,Jose Iglesias,0.20408163265306123,0.10204081632653061,0.0,0.0
85,Josh Jung,0.1282051282051282,0.0,0.0,0.0
86,Josh Naylor,0.4528301886792453,0.18867924528301888,0.07547169811320754,0.03773584905660377
87,Josh Rojas,0.22448979591836735,0.061224489795918366,0.02040816326530612,0.0
88,Julio Rodriguez,0.391304347826087,0.17391304347826086,0.06521739130434782,0.043478260869565216
89,Jung Hoo Lee,0.32,0.06,0.06,0.02
90,Keibert Ruiz,0.46153846153846156,0.15384615384615385,0.038461538461538464,0.0
91,Kerry Carpenter,0.36363636363636365,0.18181818181818182,0.12121212121212122,0.09090909090909091
92,Korey Lee,0.1935483870967742,0.06451612903225806,0.0,0.0
93,Kyle Isbel,0.2909090909090909,0.07272727272727272,0.01818181818181818,0.0
94,Kyle Schwarber,0.5,0.2222222222222222,0.1111111111111111,0.05555555555555555
95,Kyle Stowers,0.275,0.1,0.1,0.075
96,LaMonte Wade Jr.,0.25,0.027777777777777776,0.027777777777777776,0.027777777777777776
97,Lane Thomas,0.2631578947368421,0.07894736842105263,0.07894736842105263,0.02631578947368421
98,Lars Nootbaar,0.34146341463414637,0.12195121951219512,0.024390243902439025,0.0
99,Lawrence Butler,0.4230769230769231,0.21153846153846154,0.07692307692307693,0.019230769230769232
100,Logan O'Hoppe,0.34375,0.15625,0.03125,0.0
101,Lourdes Gurriel Jr.,0.42857142857142855,0.2,0.11428571428571428,0.08571428571428572
102,Luis Garcia Jr.,0.32653061224489793,0.20408163265306123,0.061224489795918366,0.0
103,Luis Robert Jr.,0.28,0.08,0.02,0.02
104,MJ Melendez,0.275,0.025,0.0,0.0
105,Maikel Garcia,0.2711864406779661,0.1016949152542373,0.03389830508474576,0.0
106,Manny Machado,0.4918032786885246,0.21311475409836064,0.06557377049180328,0.0
107,Masyn Winn,0.2857142857142857,0.07142857142857142,0.023809523809523808,0.023809523809523808
108,Matt Chapman,0.3170731707317073,0.1951219512195122,0.07317073170731707,0.024390243902439025
109,Mauricio Dubon,0.23255813953488372,0.023255813953488372,0.0,0.0
110,Max Kepler,0.2571428571428571,0.11428571428571428,0.0,0.0
111,Max Schuemann,0.17777777777777778,0.06666666666666667,0.022222222222222223,0.022222222222222223
