,home_player,home_RBI,away_team,games_played,home_AB,home_BB,home_K
5974,Nolan Schanuel,0.0,DET,1,4.0,0.0,0.0
5975,Jorge Soler,0.0,DET,1,4.0,0.0,2.0
5976,Taylor Ward,0.0,DET,1,4.0,0.0,1.0
5977,Travis d'Arnaud,0.0,DET,1,3.0,1.0,0.0
5978,Luis Rengifo,2.0,DET,1,4.0,0.0,1.0
5979,Gustavo Campero,0.0,DET,1,4.0,0.0,2.0
5980,Kyren Paris,2.0,DET,1,3.0,0.0,1.0
5981,Tim Anderson,0.0,SFG,1,3.0,0.0,1.0
5982,,4.0,DET,1,33.0,1.0,10.0
5983,,,DET,1,,,
5984,,,DET,1,,,
5985,Alex Verdugo,0.0,LAD,1,5.0,0.0,0.0
5986,Austin Riley,0.0,LAD,1,4.0,0.0,2.0
5987,Marcell Ozuna,0.0,LAD,1,4.0,1.0,2.0
5988,Matt Olson,0.0,BAL,1,3.0,2.0,1.0
5989,Sean Murphy,0.0,LAD,1,5.0,0.0,2.0
5990,Ozzie Albies,1.0,LAD,1,4.0,0.0,0.0
5991,Michael Harris II,0.0,LAD,1,4.0,0.0,1.0
5992,Michael Harris II,0.0,ATH,1,4.0,0.0,1.0
5993,Eli White,1.0,LAD,1,4.0,0.0,0.0
5994,Nick Allen,1.0,LAD,1,4.0,0.0,1.0
5995,,3.0,LAD,1,37.0,3.0,9.0
5996,,,LAD,1,,,
5997,,,LAD,1,,,
5998,Lars Nootbaar,0.0,NYM,1,5.0,0.0,1.0
5999,Alec Burleson,0.0,NYM,1,4.0,1.0,0.0
6000,Brendan Donovan,2.0,NYM,1,4.0,1.0,0.0
6001,Nolan Arenado,0.0,NYM,1,4.0,1.0,0.0
6002,Willson Contreras,3.0,NYM,1,4.0,0.0,1.0
6003,Nolan Gorman,1.0,NYM,1,2.0,1.0,1.0
6004,Masyn Winn,0.0,NYM,1,0.0,0.0,0.0
6005,Pedro Pages,0.0,NYM,1,4.0,0.0,1.0
6006,Victor Scott II,0.0,NYM,1,3.0,1.0,0.0
6007,Jose Barrero,0.0,NYM,1,3.0,0.0,1.0
6008,,6.0,NYM,1,33.0,5.0,5.0
6009,,,LAA,1,,,
6010,,,LAA,1,,,
6011,Cedric Mullins,1.0,KCR,1,5.0,0.0,1.0
6012,Gunnar Henderson,0.0,KCR,1,4.0,1.0,1.0
6013,Adley Rutschman,1.0,KCR,1,5.0,0.0,0.0
6014,Ryan O'Hearn,1.0,KCR,1,5.0,0.0,3.0
6015,Ryan Mountcastle,1.0,KCR,1,4.0,0.0,0.0
6016,Jackson Holliday,2.0,KCR,1,4.0,0.0,0.0
6017,Coby Mayo,0.0,KCR,1,3.0,1.0,1.0
6018,Heston Kjerstad,0.0,KCR,1,4.0,0.0,0.0
6019,Maverick Handley,0.0,KCR,1,2.0,0.0,0.0
6020,Ramon Laureano,0.0,KCR,1,1.0,0.0,0.0
6021,Matt Bowman,0.0,KCR,1,0.0,0.0,0.0
6022,,6.0,KCR,1,37.0,2.0,6.0
6023,Jarren Duran,0.0,MIN,1,5.0,0.0,1.0
6024,Rafael Devers,0.0,MIN,1,3.0,1.0,1.0
6025,Alex Bregman,0.0,MIN,1,3.0,1.0,1.0
6026,Kristian Campbell,0.0,MIN,1,4.0,0.0,0.0
6027,Wilyer Abreu,1.0,MIN,1,4.0,0.0,0.0
6028,Romy Gonzalez,1.0,MIN,1,2.0,0.0,1.0
6029,David Hamilton,0.0,MIN,1,3.0,0.0,1.0
6030,Carlos Narvaez,2.0,MIN,1,3.0,0.0,1.0
6031,Abraham Toro,0.0,MIN,1,1.0,0.0,0.0
6032,Ceddanne Rafaela,0.0,MIN,1,4.0,0.0,0.0
6033,,4.0,MIN,1,32.0,2.0,6.0
6034,,,MIN,1,,,
6035,Oneil Cruz,0.0,SDP,1,4.0,0.0,3.0
6036,Bryan Reynolds,0.0,SDP,1,3.0,1.0,1.0
6037,Joey Bart,0.0,SDP,1,4.0,0.0,0.0
6038,Enmanuel Valdez,0.0,SDP,1,4.0,0.0,1.0
6039,Ke'Bryan Hayes,0.0,SDP,1,4.0,0.0,1.0
6040,Tommy Pham,0.0,SDP,1,4.0,0.0,2.0
6041,Adam Frazier,0.0,SDP,1,2.0,0.0,1.0
6042,Matt Gorski,0.0,SDP,1,2.0,0.0,0.0
6043,Jared Triolo,0.0,SDP,1,2.0,1.0,0.0
6044,Andrew McCutchen,0.0,SDP,1,1.0,0.0,1.0
6045,Henry Davis,0.0,SDP,1,3.0,0.0,1.0
6046,,0.0,SDP,1,33.0,2.0,11.0
6047,Trent Grisham,0.0,TBR,1,4.0,1.0,1.0
6048,Aaron Judge,0.0,TBR,1,5.0,0.0,1.0
6049,Cody Bellinger,2.0,TBR,1,4.0,1.0,1.0
6050,Paul Goldschmidt,1.0,TBR,1,3.0,1.0,0.0
6051,Jasson Dominguez,0.0,TBR,1,3.0,1.0,0.0
6052,J.C. Escarra,0.0,TBR,1,3.0,1.0,0.0
6053,Pablo Reyes,0.0,TBR,1,2.0,0.0,1.0
6054,Jorbit Vivas,2.0,TBR,1,2.0,0.0,0.0
6055,Oswaldo Cabrera,0.0,TBR,1,3.0,0.0,0.0
6056,Ben Rice,0.0,TBR,1,0.0,1.0,0.0
6057,Austin Wells,0.0,TBR,1,0.0,0.0,0.0
6058,Oswald Peraza,0.0,TBR,1,3.0,1.0,0.0
6059,,5.0,TBR,1,32.0,7.0,4.0
6060,Bo Bichette,0.0,CLE,1,5.0,0.0,0.0
6061,Vladimir Guerrero Jr.,1.0,CLE,1,3.0,1.0,1.0
6062,Anthony Santander,0.0,CLE,1,4.0,1.0,1.0
6063,George Springer,0.0,CLE,1,4.0,1.0,2.0
6064,Alejandro Kirk,0.0,CLE,1,4.0,0.0,0.0
6065,Tyler Heineman,0.0,CLE,1,0.0,0.0,0.0
6066,Addison Barger,0.0,CLE,1,2.0,0.0,0.0
6067,Ernie Clement,0.0,CLE,1,1.0,0.0,0.0
6068,Alan Roden,0.0,CLE,1,1.0,0.0,1.0
6069,Myles Straw,0.0,CLE,1,2.0,0.0,0.0
6070,Nathan Lukes,1.0,CLE,1,3.0,0.0,0.0
6071,Andres Gimenez,2.0,CLE,1,4.0,0.0,0.0
6072,,4.0,CLE,1,33.0,3.0,5.0
6073,Xavier Edwards,0.0,ATH,1,4.0,0.0,1.0
6074,Agustin Ramirez,0.0,ATH,1,4.0,0.0,0.0
6075,Eric Wagaman,0.0,ATH,1,4.0,0.0,1.0
6076,Connor Norby,0.0,ATH,1,4.0,0.0,1.0
6077,Kyle Stowers,0.0,ATH,1,4.0,0.0,1.0
6078,Dane Myers,2.0,ATH,1,3.0,0.0,0.0
6079,Nick Fortes,0.0,ATH,1,3.0,0.0,0.0
6080,Ronny Simon,0.0,ATH,1,2.0,0.0,0.0
6081,Juan Soto,0.0,ATH,1,1.0,0.0,0.0
6082,Javier Sanoja,0.0,ATH,1,3.0,0.0,0.0
6083,,2.0,ATH,1,32.0,0.0,4.0
6084,,,ATH,1,,,
6085,,,ATH,1,,,
6086,Trea Turner,0.0,ARI,1,6.0,0.0,2.0
6087,Bryce Harper,1.0,ARI,1,5.0,1.0,2.0
6088,Kyle Schwarber,1.0,ARI,1,5.0,1.0,2.0
6089,Nick Castellanos,0.0,ARI,1,5.0,0.0,2.0
6090,Brandon Marsh,0.0,ARI,1,0.0,0.0,0.0
6091,J.T. Realmuto,1.0,ARI,1,5.0,0.0,0.0
6092,Alec Bohm,1.0,ARI,1,4.0,1.0,2.0
6093,Edmundo Sosa,0.0,ARI,1,1.0,2.0,0.0
6094,Bryson Stott,0.0,ARI,1,2.0,0.0,0.0
6095,Will Wilson,3.0,ARI,1,5.0,0.0,2.0
6096,Johan Rojas,1.0,ARI,1,3.0,0.0,2.0
6097,Max Kepler,1.0,ARI,1,1.0,0.0,0.0
6098,,9.0,ARI,1,42.0,5.0,14.0
6099,Jackson Chourio,0.0,CHC,1,4.0,0.0,0.0
6100,Isaac Collins,0.0,CHC,1,4.0,0.0,1.0
6101,Willson Contreras,0.0,CHC,1,2.0,2.0,1.0
6102,Christian Yelich,0.0,CHC,1,4.0,0.0,1.0
6103,Rhys Hoskins,0.0,CHC,1,3.0,1.0,0.0
6104,Sal Frelick,0.0,CHC,1,1.0,0.0,0.0
6105,Daz Cameron,1.0,CHC,1,2.0,0.0,0.0
6106,Caleb Durbin,2.0,CHC,1,3.0,0.0,0.0
6107,Joey Ortiz,0.0,CHC,1,3.0,0.0,1.0
6108,Brice Turang,0.0,CHC,1,3.0,0.0,3.0
6109,,3.0,CHC,1,29.0,3.0,7.0
6110,Chase Meidroth,0.0,HOU,1,2.0,2.0,0.0
6111,Miguel Vargas,0.0,HOU,1,4.0,0.0,0.0
6112,Andrew Benintendi,0.0,HOU,1,3.0,0.0,1.0
6113,Brooks Baldwin,0.0,TBR,1,1.0,0.0,0.0
6114,Luis Robert Jr.,1.0,HOU,1,3.0,1.0,1.0
6115,Edgar Quero,1.0,HOU,1,4.0,0.0,0.0
6116,Andrew Vaughn,0.0,HOU,1,4.0,0.0,0.0
6117,Johan Rojas,1.0,HOU,1,2.0,1.0,1.0
6118,Lenyn Sosa,2.0,HOU,1,2.0,1.0,1.0
6119,Joshua Palacios,0.0,HOU,1,0.0,1.0,0.0
6120,Michael A. Taylor,0.0,HOU,1,1.0,0.0,1.0
6121,,5.0,HOU,1,26.0,6.0,5.0
6122,Josh Smith,1.0,SEA,1,5.0,0.0,0.0
6123,Wyatt Langford,1.0,SEA,1,3.0,1.0,0.0
6124,Corey Seager,2.0,SEA,1,5.0,0.0,0.0
6125,Leody Taveras,0.0,SEA,1,0.0,0.0,0.0
6126,Joc Pederson,0.0,SEA,1,4.0,0.0,1.0
6127,Marcus Semien,1.0,SEA,1,4.0,0.0,2.0
6128,Jonah Heim,0.0,SEA,1,3.0,1.0,1.0
