player,1_runs_count,2_runs_count,3_runs_count,4_runs_count,games_played,1_runs_rate,2_runs_rate,3_runs_rate,4_runs_rate
Anthony Volpe,17,5,0,0,44,0.38636363636363635,0.11363636363636363,0.0,0.0
Austin Barnes,4,0,0,0,13,0.3076923076923077,0.0,0.0,0.0
Austin Hays,9,4,1,1,19,0.47368421052631576,0.21052631578947367,0.05263157894736842,0.05263157894736842
Austin Hedges,4,0,0,0,17,0.23529411764705882,0.0,0.0,0.0
Austin Riley,17,6,0,0,44,0.38636363636363635,0.13636363636363635,0.0,0.0
Austin Slater,2,0,0,0,8,0.25,0.0,0.0,0.0
Austin Wells,15,2,0,0,39,0.38461538461538464,0.05128205128205128,0.0,0.0
Austin Wynns,5,1,0,0,14,0.35714285714285715,0.07142857142857142,0.0,0.0
Ben Rice,17,7,1,1,41,0.4146341463414634,0.17073170731707318,0.024390243902439025,0.024390243902439025
Ben Rortvedt,2,0,0,0,22,0.09090909090909091,0.0,0.0,0.0
Ben Williamson,12,1,0,0,24,0.5,0.041666666666666664,0.0,0.0
Blaine Crim,1,0,0,0,5,0.2,0.0,0.0,0.0
Blake Dunn,7,3,0,0,30,0.23333333333333334,0.1,0.0,0.0
Blake Sabol,2,0,0,0,8,0.25,0.0,0.0,0.0
Bo Bichette,16,2,0,0,43,0.37209302325581395,0.046511627906976744,0.0,0.0
Bo Naylor,15,0,0,0,33,0.45454545454545453,0.0,0.0,0.0
Bobby Dalbec,2,0,0,0,7,0.2857142857142857,0.0,0.0,0.0
Bobby Witt Jr.,22,5,0,0,46,0.4782608695652174,0.10869565217391304,0.0,0.0
Brandon Lockridge,7,0,0,0,21,0.3333333333333333,0.0,0.0,0.0
Brandon Lowe,12,3,0,0,39,0.3076923076923077,0.07692307692307693,0.0,0.0
Brandon Marsh,4,2,0,0,26,0.15384615384615385,0.07692307692307693,0.0,0.0
Brandon Nimmo,14,2,2,1,44,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.022727272727272728
Braxton Fulford,1,0,0,0,4,0.25,0.0,0.0,0.0
Brayan Rocchio,8,0,0,0,35,0.22857142857142856,0.0,0.0,0.0
Brendan Donovan,17,3,1,0,42,0.40476190476190477,0.07142857142857142,0.023809523809523808,0.0
Brendan Rodgers,8,2,0,0,31,0.25806451612903225,0.06451612903225806,0.0,0.0
Brent Rooker,21,7,1,0,44,0.4772727272727273,0.1590909090909091,0.022727272727272728,0.0
Brenton Doyle,9,2,1,0,35,0.2571428571428571,0.05714285714285714,0.02857142857142857,0.0
Brett Baty,7,1,0,0,28,0.25,0.03571428571428571,0.0,0.0
Brett Wisely,1,0,0,0,5,0.2,0.0,0.0,0.0
Brewer Hicklen,1,1,0,0,1,1.0,1.0,0.0,0.0
Brice Turang,19,7,4,0,42,0.4523809523809524,0.16666666666666666,0.09523809523809523,0.0
Brooks Baldwin,9,0,0,0,42,0.21428571428571427,0.0,0.0,0.0
Brooks Lee,6,1,1,0,28,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.0
Bryan De La Cruz,1,0,0,0,16,0.0625,0.0,0.0,0.0
Bryan Reynolds,14,2,0,0,44,0.3181818181818182,0.045454545454545456,0.0,0.0
Bryce Harper,17,6,0,0,43,0.3953488372093023,0.13953488372093023,0.0,0.0
Bryson Stott,17,4,1,0,41,0.4146341463414634,0.0975609756097561,0.024390243902439025,0.0
Byron Buxton,20,9,1,0,38,0.5263157894736842,0.23684210526315788,0.02631578947368421,0.0
CJ Abrams,16,4,3,0,32,0.5,0.125,0.09375,0.0
