away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
P. Goldschmidt1B,5,1,2,0,0,0,1,.227,.295,.368,R. Tellez1B,2,1,1,0,0,0,1,.232,.288,.333
B. DonovanLF,4,1,3,1,0,1,0,.270,.340,.414,aE. OlivaresPH-RF,2,0,0,0,0,0,1,.234,.302,.347
N. Arenado3B,3,1,0,0,0,1,0,.259,.314,.374,N. Gonzales2B,4,1,1,0,0,0,1,.280,.315,.435
M. CarpenterDH,5,1,1,0,0,0,3,.247,.324,.344,K. Hayes3B,3,0,0,0,0,0,1,.229,.293,.305
N. Gorman2B,4,1,2,4,1,0,2,.192,.271,.410,J. SuwinskiCF,3,1,3,3,1,0,0,.180,.263,.315
M. SianiCF,4,0,0,0,0,0,1,.228,.265,.316,Y. GrandalC,3,0,0,0,0,0,0,.174,.207,.261
team,39,7,13,7,2,2,12,,,,team,32,4,7,4,2,1,10,,,
F. LindorSS,5,2,2,1,1,0,0,.249,.313,.446,C. AbramsSS,5,0,2,1,0,0,2,.286,.349,.510
H. BaderCF,2,0,0,0,0,0,2,.270,.316,.408,L. ThomasRF,4,0,0,0,0,1,2,.234,.298,.405
B. NimmoLF,3,1,2,2,0,0,1,.251,.370,.454,H. RamirezDH,3,0,0,1,0,0,0,.261,.261,.391
M. Vientos3B,5,0,2,1,0,0,2,.298,.355,.567,aJ. WinkerPH-DH,2,0,0,0,0,0,0,.257,.374,.406
B. GamelPR-RF,0,1,0,0,0,0,0,.000,.500,.000,J. Meneses1B,3,0,1,0,0,0,2,.234,.295,.308
P. Alonso1B,5,1,2,2,1,0,1,.247,.332,.478,I. Vargas2B-3B,4,0,0,0,0,0,0,.253,.310,.331
F. AlvarezC,5,0,1,0,0,0,4,.301,.365,.513,J. WoodLF,3,0,0,0,0,1,0,.143,.333,.143
L. TorrensDH,4,0,1,0,0,0,2,.303,.361,.636,K. RuizC,4,0,1,0,0,0,0,.213,.251,.301
T. TaylorRF-CF,4,1,0,0,0,0,1,.223,.270,.361,N. Senzel3B,3,1,1,0,0,0,0,.211,.308,.367
J. Iglesias2B-3B,4,1,1,1,0,0,0,.367,.404,.531,bL. Garcia Jr.PH-2B,1,0,0,0,0,0,0,.257,.288,.387
J. McNeilLF-RF-2B,4,0,0,0,0,0,1,.213,.272,.300,J. YoungCF,3,1,1,0,0,1,1,.268,.325,.338
team,41,7,11,7,2,0,14,,,,team,35,2,6,2,0,3,7,,,
J. India2B,3,1,0,0,0,1,0,.275,.381,.405,A. VolpeSS,5,0,0,0,0,0,0,.257,.311,.384
E. De La CruzSS,5,2,2,2,1,0,2,.254,.343,.483,J. SotoRF,3,0,0,0,0,1,0,.300,.435,.562
J. CandelarioDH,4,0,1,1,0,0,1,.243,.297,.471,A. JudgeDH,4,2,3,1,1,0,0,.321,.440,.718
S. Steer1B,3,0,1,0,0,1,2,.242,.335,.414,A. VerdugoLF,3,1,0,0,0,1,0,.241,.301,.389
T. StephensonC,3,0,0,0,0,1,0,.237,.319,.391,G. Torres2B,4,1,1,1,0,0,1,.226,.299,.351
N. MartiniLF,4,0,0,0,0,0,0,.203,.257,.333,B. Rice1B,4,0,1,2,0,0,1,.270,.364,.351
N. Marte3B,3,0,0,0,0,1,0,.150,.190,.200,D. LeMahieu3B,4,0,0,0,0,0,1,.180,.275,.202
S. FairchildCF,3,1,0,0,0,0,2,.231,.305,.344,T. GrishamCF,4,0,1,0,0,0,1,.159,.278,.354
W. BensonRF,4,1,1,2,1,0,1,.191,.280,.377,J. TrevinoC,3,0,0,0,0,0,1,.241,.295,.399
team,32,5,5,5,2,4,8,,,,aA. WellsPH,1,0,0,0,0,0,0,.213,.305,.340
,,,,,,,,,,,team,35,4,6,4,1,2,5,,,
J. Altuve2B,5,1,3,1,0,0,0,.308,.357,.471,B. BichetteSS,4,0,0,0,0,0,2,.227,.282,.326
A. Bregman3B,4,0,0,0,0,0,0,.248,.306,.396,S. Horwitz2B,4,1,1,1,1,0,0,.288,.420,.470
Y. AlvarezLF,4,2,2,3,1,0,0,.297,.374,.537,V. Guerrero Jr.1B,3,2,1,0,0,1,0,.298,.377,.474
Y. DiazDH,4,0,0,0,0,0,1,.274,.299,.409,J. TurnerDH,2,1,1,1,0,2,0,.249,.358,.373
J. MeyersCF,4,0,0,1,0,0,1,.251,.317,.423,G. SpringerRF,4,1,1,3,1,0,2,.215,.301,.358
J. Singleton1B,3,1,1,0,0,1,1,.234,.333,.348,D. VarshoCF-LF,3,0,0,0,0,1,3,.195,.277,.395
J. PenaSS,3,1,1,0,0,0,0,.278,.322,.388,E. Clement3B,4,1,1,0,0,0,0,.268,.285,.425
J. LoperfidoRF,4,0,0,0,0,0,2,.286,.338,.381,A. KirkC,2,1,0,0,0,1,2,.197,.283,.285
C. SalazarC,2,1,1,1,0,1,0,.375,.389,.500,A. BargerLF,3,0,1,1,0,0,1,.179,.207,.232
aT. CabbagePH,1,0,0,0,0,0,1,.264,.291,.415,K. KiermaierCF,0,0,0,0,0,0,0,.190,.233,.281
team,34,6,8,6,1,2,6,,,,team,29,7,6,6,2,5,10,,,
J. SolerDH,5,1,1,1,1,0,2,.229,.309,.406,J. KelenicCF,4,1,1,0,0,0,2,.278,.322,.458
L. Wade Jr.1B,4,1,1,1,1,1,1,.324,.459,.437,O. Albies2B,4,0,1,1,0,0,0,.254,.311,.396
H. RamosCF,4,1,2,1,1,1,2,.298,.373,.524,M. OzunaDH,4,0,0,0,0,0,2,.296,.379,.560
P. BaileyC,3,0,0,0,0,2,1,.279,.354,.426,M. Olson1B,3,0,0,0,0,1,1,.239,.319,.424
M. Chapman3B,5,0,0,0,0,0,1,.238,.318,.408,A. Riley3B,4,1,1,1,1,0,1,.250,.323,.429
M. ConfortoLF,3,1,1,0,0,1,1,.236,.297,.431,S. MurphyC,4,1,1,1,1,0,1,.218,.292,.391
B. Wisely2B,3,1,1,0,0,0,0,.297,.325,.450,A. DuvallRF,3,0,1,0,0,1,1,.172,.249,.297
M. YastrzemskiRF,2,0,2,0,0,0,0,.232,.310,.412,F. WallLF,3,0,1,0,0,0,0,.261,.320,.261
aL. MatosPH-RF,2,0,1,0,0,0,0,.246,.268,.381,Z. ShortSS,2,0,0,0,0,0,1,.156,.333,.200
N. AhmedSS,3,0,0,1,0,0,1,.243,.288,.314,team,31,3,6,3,2,2,9,,,
team,34,5,9,4,3,5,9,,,,,,,,,,,,,,
W. PerezRF,4,0,0,0,0,0,1,.260,.315,.390,M. MargotRF-LF,4,2,2,1,1,0,0,.244,.310,.351
R. GreeneCF,4,0,1,0,0,0,1,.253,.349,.477,C. CorreaSS,4,1,1,1,1,0,1,.310,.378,.510
M. Canha1B,4,0,0,0,0,0,0,.224,.331,.338,R. Lewis3B,2,0,1,2,0,0,1,.292,.354,.685
G. Urshela3B,3,0,0,0,0,1,1,.237,.281,.300,M. KeplerRF,2,0,0,0,0,0,1,.243,.297,.400
C. Keith2B,3,0,0,0,0,1,0,.229,.277,.313,J. MirandaDH,4,0,1,0,0,0,1,.296,.339,.482
J. MalloyDH,4,1,2,1,1,0,1,.194,.286,.403,A. MartinPR-DH,0,0,0,0,0,0,0,.269,.331,.380
A. BaddooLF,4,1,1,0,0,0,2,.122,.241,.306,C. Santana1B,3,0,0,0,0,1,2,.251,.329,.436
J. RogersC,3,0,0,0,0,0,1,.204,.253,.346,B. BuxtonCF,2,1,1,0,0,2,0,.263,.316,.465
R. KreidlerSS,3,1,1,2,1,0,0,.147,.237,.235,R. JeffersC,4,0,0,1,0,0,0,.228,.315,.461
team,32,3,5,3,2,2,7,,,,W. CastroLF-2B,3,0,0,0,0,1,2,.273,.356,.448
,,,,,,,,,,,K. Farmer2B-3B,2,1,1,0,0,1,0,.192,.299,.264
,,,,,,,,,,,team,30,5,7,5,2,5,8,,,
B. Stott2B,5,2,2,0,0,0,0,.246,.337,.364,N. Hoerner2B,4,1,0,0,0,0,1,.245,.330,.343
T. TurnerSS,5,2,3,4,2,0,0,.338,.386,.487,M. Busch1B,3,1,1,0,0,1,0,.259,.358,.444
