gameId,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
401695615,J. RodriguezCF,4,1,1,4,1,0,0,.235,.313,.412,L. Robert Jr.CF,4,0,1,0,0,0,0,.186,.281,.308
401695615,C. RaleighC,4,0,0,0,0,0,1,.241,.362,.560,J. PalaciosRF,4,0,1,0,0,0,1,.198,.301,.272
401695615,R. ArozarenaLF,4,0,0,0,0,0,1,.236,.372,.414,A. VaughnDH,4,0,1,1,0,0,0,.185,.215,.315
401695615,R. Tellez1B,3,0,0,0,0,1,1,.196,.259,.471,A. SlaterLF,2,0,0,0,0,0,2,.227,.227,.455
401695615,L. TaverasRF,4,0,0,0,0,0,0,.139,.179,.194,aE. QueroPH,1,0,0,0,0,0,1,.277,.368,.313
401695615,D. Moore2B,4,0,1,0,0,0,1,.284,.342,.510,M. TaylorLF,1,0,0,0,0,0,1,.196,.253,.348
401695615,B. Williamson3B,4,2,3,0,0,0,0,.248,.275,.314,J. Rojas2B,3,0,0,0,0,0,1,.158,.238,.158
401695615,team,35,5,8,5,1,3,5,,,,T. Elko1B,3,0,0,0,0,0,0,.167,.200,.417
401695615,,,,,,,,,,,,team,32,1,5,1,0,2,8,,,
401695614,K. CarpenterRF,4,0,0,0,0,0,2,.284,.312,.500,L. NootbaarLF,4,2,2,1,0,0,1,.258,.364,.425
401695614,G. Torres2B,3,0,0,0,0,1,1,.284,.368,.440,M. WinnSS,4,1,2,0,0,0,0,.267,.358,.427
401695614,C. Keith1B,4,0,0,0,0,0,1,.222,.341,.359,B. Donovan2B,5,2,3,1,0,0,0,.337,.392,.475
401695614,R. GreeneCF,3,0,1,0,0,0,2,.276,.328,.508,Y. Pozo1B,0,0,0,0,0,0,0,.348,.362,.478
401695614,J. MalloyLF,1,1,0,0,0,0,0,.203,.350,.291,W. Contreras1B,4,1,1,1,0,0,1,.249,.330,.401
401695614,S. TorkelsonDH,3,1,1,0,0,1,1,.246,.352,.533,N. Gorman1B-2B,1,0,0,0,0,0,0,.171,.283,.276
401695614,Z. McKinstry3B,2,0,1,0,0,0,1,.284,.368,.419,I. HerreraDH,5,2,2,2,0,0,0,.426,.484,.815
401695614,aA. IbanezPH-3B,2,1,1,1,0,0,0,.254,.329,.388,N. Arenado3B,4,0,0,1,0,0,0,.241,.316,.371
401695614,T. SweeneySS,3,1,1,1,0,0,1,.252,.311,.364,J. Barrero3B,1,0,0,0,0,0,0,.176,.222,.412
401695614,D. DinglerC,4,0,2,1,0,0,1,.292,.319,.462,A. BurlesonRF,2,0,2,0,0,1,0,.285,.333,.423
401695614,A. BaddooLF-CF,4,0,1,1,0,0,2,.200,.273,.300,J. WalkerRF,1,1,1,2,0,0,0,.195,.260,.286
401695614,team,33,4,8,4,0,2,12,,,,P. PagesC,4,1,1,2,1,0,1,.233,.268,.379
401695614,,,,,,,,,,,,V. Scott IICF,3,1,2,0,0,1,0,.271,.344,.375
401695614,,,,,,,,,,,,team,38,11,16,10,1,2,3,,,
401695616,T. TurnerSS,5,1,3,2,0,0,0,.303,.358,.400,J. BeckLF,4,1,1,0,0,0,1,.264,.331,.568
401695616,B. Harper1B,4,0,2,2,0,0,0,.263,.376,.440,E. TovarSS,4,1,2,2,1,0,0,.275,.310,.450
401695616,K. SchwarberDH,4,1,1,1,1,1,2,.257,.389,.573,H. GoodmanDH,4,0,0,0,0,0,2,.292,.344,.494
401695616,N. CastellanosRF,5,2,2,0,0,0,1,.282,.325,.414,M. Toglia1B,4,1,1,0,0,0,3,.210,.278,.377
401695616,J.T. RealmutoC,5,0,0,0,0,0,2,.236,.317,.382,B. DoyleCF,4,0,1,1,0,0,0,.204,.253,.320
401695616,A. Bohm3B,5,1,2,2,1,0,1,.260,.302,.361,R. McMahon3B,4,0,0,0,0,0,2,.201,.326,.365
401695616,E. Sosa2B,5,2,4,2,1,0,0,.386,.419,.526,T. FreemanRF,2,0,0,0,0,0,0,.118,.304,.118
401695616,W. WilsonLF,2,0,0,0,0,1,1,.250,.333,.438,aM. MoniakPH-RF,2,0,1,0,0,0,0,.220,.270,.386
401695616,bM. KeplerPH-LF,2,0,1,0,0,0,0,.221,.304,.383,A. Amador2B,2,0,0,0,0,0,1,.145,.244,.246
401695616,J. RojasCF,2,0,0,0,0,0,0,.259,.319,.346,J. StallingsC,3,0,0,0,0,0,0,.141,.228,.183
401695616,aB. MarshPH-CF,3,2,2,0,0,0,0,.205,.298,.301,team,33,3,6,3,1,0,9,,,
401695616,team,42,9,17,9,3,2,7,,,,,,,,,,,,,,
401695619,J. IndiaDH,3,0,1,0,0,1,1,.240,.333,.317,H. RamosLF,4,0,1,0,0,0,0,.292,.358,.489
401695619,C. BiggioPR-DH,0,1,0,0,0,0,0,.177,.311,.242,W. FloresDH,4,0,1,0,0,0,1,.257,.322,.449
401695619,B. Witt Jr.SS,4,0,1,0,0,0,0,.302,.369,.508,J. LeeCF,4,0,1,1,0,0,1,.276,.317,.465
401695619,V. Pasquantino1B,4,1,2,2,1,0,0,.228,.272,.392,M. Chapman3B,4,0,0,0,0,0,1,.216,.337,.398
401695619,S. PerezC,4,0,0,0,0,0,2,.218,.254,.324,W. AdamesSS,3,0,0,0,0,1,1,.219,.302,.353
401695619,M. Garcia3B,4,1,2,0,0,0,2,.306,.374,.482,C. Schmitt1B,2,0,1,0,0,1,0,.200,.259,.320
401695619,M. CanhaLF,3,0,2,0,0,0,0,.296,.371,.333,aL. Wade Jr.PH,1,0,1,0,0,0,0,.172,.271,.287
401695619,D. BlancoPR-LF,0,0,0,0,0,0,0,.333,.333,.667,T. Fitzgerald2B,3,0,0,0,0,1,0,.286,.350,.429
401695619,M. Massey2B,4,0,0,0,0,0,1,.199,.218,.269,L. MatosRF,3,0,0,0,0,0,0,.154,.203,.323
401695619,H. RenfroeRF,3,0,0,0,0,1,1,.173,.234,.224,bM. YastrzemskiPH,1,0,0,0,0,0,1,.274,.376,.438
401695619,K. IsbelCF,4,0,2,1,0,0,0,.278,.286,.435,S. HuffC,3,1,1,0,0,0,2,.200,.245,.289
401695619,team,33,3,10,3,1,2,7,,,,team,32,1,6,1,0,3,7,,,
401764540,Z. NetoSS,4,1,1,0,0,0,1,.282,.333,.545,L. ButlerRF,4,1,1,0,0,1,0,.228,.294,.389
401764540,N. Schanuel1B,4,2,3,1,1,0,0,.277,.365,.406,J. WilsonSS,3,1,2,0,0,1,0,.343,.380,.481
401764540,Y. Moncada3B,3,0,0,1,0,0,1,.215,.346,.446,M. SchuemannPR,0,0,0,0,0,0,0,.263,.349,.447
401764540,T. WardLF,4,1,1,2,1,0,2,.198,.246,.458,T. SoderstromLF,4,1,1,0,0,0,2,.272,.332,.489
401764540,J. SolerDH,4,0,0,0,0,0,2,.213,.289,.375,B. RookerDH,2,0,1,1,0,2,0,.241,.310,.445
401764540,L. O'HoppeC,4,0,2,0,0,0,1,.259,.293,.482,S. LangeliersC,4,0,1,1,0,0,1,.250,.316,.442
401764540,M. LugoCF,4,0,0,0,0,0,4,.310,.333,.759,N. Kurtz1B,4,0,0,0,0,0,1,.208,.259,.299
401764540,L. Rengifo2B,4,0,1,0,0,0,2,.219,.258,.288,L. Urias2B,3,0,0,0,0,0,0,.265,.342,.461
401764540,J. AdellRF,3,0,0,0,0,0,0,.193,.244,.361,J. BledayCF,3,0,1,0,0,1,1,.208,.298,.377
401764540,team,34,4,8,4,2,0,13,,,,G. Urshela3B,3,0,0,0,0,0,1,.219,.265,.333
401764540,,,,,,,,,,,,aS. BrownPH,1,0,0,0,0,0,0,.191,.309,.298
401764540,,,,,,,,,,,,team,31,3,7,2,0,5,6,,,
