away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
K. Campbell2B,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.333,0.5,0.333,J. Jung3B,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5
D. HamiltonPR-2B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K. PillarCF,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.667,0.667,0.667
W. AbreuRF,3.0,3.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,aJ. PedersonPH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C. WongC,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,K. HigashiokaC,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.25,0.5
C. RafaelaCF,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,J. SmithSS,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
team,33.0,5.0,6.0,5.0,2.0,3.0,13.0,,,,team,33.0,2.0,7.0,2.0,0.0,2.0,7.0,,,
T. PhamLF,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.333,0.6,0.667,X. EdwardsSS,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.4,0.0
B. ReynoldsRF,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.25,0.4,0.25,K. StowersLF,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.333,0.6,0.333
O. CruzCF,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,J. BrideDH,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.333,0.5,0.333
J. BartC,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,M. Mervis1B,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
A. McCutchenDH,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O. Lopez2B,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.333,0.5,0.333
N. Gonzales2B,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.333,0.333,1.333,G. ConineRF,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A. Frazier2B,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,aD. MyersPH-RF,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5
E. Rodriguez1B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.25,0.0,D. HillCF,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.333,0.5,0.667
K. Hayes3B,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,G. Pauley3B,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25
I. Kiner-FalefaSS,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.0,N. FortesC,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.333,0.5,1.0
team,31.0,4.0,4.0,4.0,1.0,7.0,11.0,,,,J. SanojaPR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,team,30.0,5.0,7.0,4.0,0.0,7.0,11.0,,,
L. Wade Jr.1B,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,T. FriedlCF,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.4,0.4,0.4
W. AdamesSS,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,M. McLain2B,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
J. LeeCF,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,E. De La CruzSS,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.333,0.5,0.333
M. Chapman3B,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,G. LuxLF,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.333,0.5,0.333
H. RamosLF,4.0,1.0,1.0,2.0,1.0,0.0,3.0,0.25,0.25,1.0,B. DunnLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P. BaileyC,4.0,1.0,1.0,1.0,0.0,0.0,2.0,0.25,0.25,0.25,J. Candelario3B,3.0,0.0,2.0,3.0,0.0,1.0,1.0,0.667,0.75,0.667
W. FloresDH,4.0,1.0,1.0,3.0,1.0,0.0,1.0,0.25,0.25,1.0,S. SteerDH,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
M. YastrzemskiRF,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5,0.5,0.5,C. Encarnacion-Strand1B,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75
T. Fitzgerald2B,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,J. FraleyRF,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
team,33.0,6.0,6.0,6.0,2.0,2.0,17.0,,,,J. TrevinoC,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.0
,,,,,,,,,,,aJ. HurtubisePH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,,,,,,,,,,,team,33.0,4.0,8.0,4.0,0.0,4.0,8.0,,,
T. WardLF,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,M. Vargas3B,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.5,0.5,0.75
N. Schanuel1B,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,L. Robert Jr.CF,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.5
M. TroutRF,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,A. BenintendiDH,4.0,1.0,1.0,3.0,1.0,0.0,2.0,0.25,0.25,1.0
J. SolerDH,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,A. Vaughn1B,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
