,player,1_RBI_count_over,2_RBI_count_over,3_RBI_count_over,4_RBI_count_over,games_played_over,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over,1_RBI_count_under,2_RBI_count_under,3_RBI_count_under,4_RBI_count_under,games_played_under,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
148,Vinnie Pasquantino,26,10,6,0,51,0.5098039215686274,0.19607843137254902,0.11764705882352941,0.0,17,6,1,1,41,0.4146341463414634,0.14634146341463414,0.024390243902439025,0.024390243902439025
149,Vladimir Guerrero Jr.,26,10,2,0,58,0.4482758620689655,0.1724137931034483,0.034482758620689655,0.0,22,8,2,1,58,0.3793103448275862,0.13793103448275862,0.034482758620689655,0.017241379310344827
150,Will Smith,13,8,2,0,36,0.3611111111111111,0.2222222222222222,0.05555555555555555,0.0,16,3,1,0,51,0.3137254901960784,0.058823529411764705,0.0196078431372549,0.0
151,Willi Castro,15,4,1,0,35,0.42857142857142855,0.11428571428571428,0.02857142857142857,0.0,13,4,1,0,64,0.203125,0.0625,0.015625,0.0
152,Willson Contreras,14,6,0,0,33,0.42424242424242425,0.18181818181818182,0.0,0.0,14,5,2,0,46,0.30434782608695654,0.10869565217391304,0.043478260869565216,0.0
153,Willy Adames,22,11,7,2,54,0.4074074074074074,0.2037037037037037,0.12962962962962962,0.037037037037037035,21,7,5,2,59,0.3559322033898305,0.11864406779661017,0.0847457627118644,0.03389830508474576
154,Wyatt Langford,21,8,3,0,55,0.38181818181818183,0.14545454545454545,0.05454545454545454,0.0,13,5,2,1,48,0.2708333333333333,0.10416666666666667,0.041666666666666664,0.020833333333333332
155,Xander Bogaerts,20,4,1,0,54,0.37037037037037035,0.07407407407407407,0.018518518518518517,0.0,17,4,1,0,50,0.34,0.08,0.02,0.0
156,Xavier Edwards,13,3,1,1,43,0.3023255813953488,0.06976744186046512,0.023255813953488372,0.023255813953488372,12,3,1,0,56,0.21428571428571427,0.05357142857142857,0.017857142857142856,0.0
157,Yandy Diaz,35,16,6,1,95,0.3684210526315789,0.16842105263157894,0.06315789473684211,0.010526315789473684,31,12,4,0,109,0.28440366972477066,0.11009174311926606,0.03669724770642202,0.0
158,Yordan Alvarez,21,7,4,1,44,0.4772727272727273,0.1590909090909091,0.09090909090909091,0.022727272727272728,17,7,3,1,47,0.3617021276595745,0.14893617021276595,0.06382978723404255,0.02127659574468085
159,Zack Gelof,9,2,1,1,34,0.2647058823529412,0.058823529411764705,0.029411764705882353,0.029411764705882353,9,2,1,1,40,0.225,0.05,0.025,0.025
