,player,1_RBI_count_over,2_RBI_count_over,3_RBI_count_over,4_RBI_count_over,games_played_over,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over,1_RBI_count_under,2_RBI_count_under,3_RBI_count_under,4_RBI_count_under,games_played_under,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
14,Anthony Volpe,22,9,4,0,58,0.3793103448275862,0.15517241379310345,0.06896551724137931,0.0,11,4,1,0,57,0.19298245614035087,0.07017543859649122,0.017543859649122806,0.0
15,Austin Wells,21,5,4,2,48,0.4375,0.10416666666666667,0.08333333333333333,0.041666666666666664,20,7,5,3,49,0.40816326530612246,0.14285714285714285,0.10204081632653061,0.061224489795918366
16,Ben Rice,12,4,2,2,42,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,11,6,1,0,39,0.28205128205128205,0.15384615384615385,0.02564102564102564,0.0
17,Bo Naylor,13,3,2,0,41,0.3170731707317073,0.07317073170731707,0.04878048780487805,0.0,9,3,3,0,53,0.16981132075471697,0.05660377358490566,0.05660377358490566,0.0
18,Bobby Witt Jr.,30,11,6,2,66,0.45454545454545453,0.16666666666666666,0.09090909090909091,0.030303030303030304,22,4,2,1,51,0.43137254901960786,0.0784313725490196,0.0392156862745098,0.0196078431372549
19,Brandon Lowe,18,11,2,0,47,0.3829787234042553,0.23404255319148937,0.0425531914893617,0.0,20,4,0,0,56,0.35714285714285715,0.07142857142857142,0.0,0.0
20,Brandon Nimmo,19,6,1,0,62,0.3064516129032258,0.0967741935483871,0.016129032258064516,0.0,12,4,4,0,46,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.0
21,Brayan Rocchio,10,2,1,0,45,0.2222222222222222,0.044444444444444446,0.022222222222222223,0.0,11,2,1,1,59,0.1864406779661017,0.03389830508474576,0.01694915254237288,0.01694915254237288
22,Brendan Donovan,18,8,2,0,45,0.4,0.17777777777777778,0.044444444444444446,0.0,16,3,2,0,60,0.26666666666666666,0.05,0.03333333333333333,0.0
23,Brendan Rodgers,9,5,1,0,33,0.2727272727272727,0.15151515151515152,0.030303030303030304,0.0,13,5,3,0,63,0.20634920634920634,0.07936507936507936,0.047619047619047616,0.0
24,Brent Rooker,28,11,2,0,54,0.5185185185185185,0.2037037037037037,0.037037037037037035,0.0,24,14,5,2,62,0.3870967741935484,0.22580645161290322,0.08064516129032258,0.03225806451612903
25,Brenton Doyle,16,7,3,3,35,0.45714285714285713,0.2,0.08571428571428572,0.08571428571428572,21,7,2,0,65,0.3230769230769231,0.1076923076923077,0.03076923076923077,0.0
26,Brooks Baldwin,12,1,0,0,37,0.32432432432432434,0.02702702702702703,0.0,0.0,8,3,1,0,34,0.23529411764705882,0.08823529411764706,0.029411764705882353,0.0
27,Bryan Reynolds,15,7,0,0,42,0.35714285714285715,0.16666666666666666,0.0,0.0,18,9,4,2,66,0.2727272727272727,0.13636363636363635,0.06060606060606061,0.030303030303030304
28,Bryce Harper,15,6,0,0,32,0.46875,0.1875,0.0,0.0,16,9,1,0,65,0.24615384615384617,0.13846153846153847,0.015384615384615385,0.0
29,Bryson Stott,10,3,1,0,33,0.30303030303030304,0.09090909090909091,0.030303030303030304,0.0,14,4,2,0,61,0.22950819672131148,0.06557377049180328,0.03278688524590164,0.0
30,Byron Buxton,14,7,3,1,32,0.4375,0.21875,0.09375,0.03125,16,6,1,0,45,0.35555555555555557,0.13333333333333333,0.022222222222222223,0.0
31,CJ Abrams,19,2,1,0,39,0.48717948717948717,0.05128205128205128,0.02564102564102564,0.0,11,5,0,0,55,0.2,0.09090909090909091,0.0,0.0
32,Carlos Santana,17,6,2,0,48,0.3541666666666667,0.125,0.041666666666666664,0.0,16,4,0,0,61,0.26229508196721313,0.06557377049180328,0.0,0.0
