away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
team,33,6,6,6,2,2,17,,,,J. TrevinoC,2,0,0,0,0,1,0,.000,.333,.000
,,,,,,,,,,,aJ. HurtubisePH,0,1,0,0,0,0,0,.000,1.000,.000
,,,,,,,,,,,team,33,4,8,4,0,4,8,,,
T. WardLF,4,0,1,0,0,0,0,.250,.250,.500,M. Vargas3B,4,1,2,2,0,0,1,.500,.500,.750
N. Schanuel1B,4,0,1,0,0,0,0,.250,.250,.250,L. Robert Jr.CF,4,0,1,0,0,0,1,.250,.250,.500
M. TroutRF,2,0,0,0,0,1,0,.000,.500,.000,A. BenintendiDH,4,1,1,3,1,0,2,.250,.250,1.000
J. SolerDH,4,0,0,0,0,0,2,.000,.000,.000,A. Vaughn1B,4,0,0,0,0,0,0,.000,.000,.000
Tim Anderson2B-SS,4,0,0,0,0,0,3,.000,.000,.000,A. SlaterRF,3,1,1,1,1,0,0,.333,.333,1.333
L. Rengifo3B-2B,4,0,0,0,0,0,2,.000,.000,.000,aN. MatonPH,0,0,0,0,0,1,0,.000,1.000,.000
L. O'HoppeC,4,1,2,1,1,0,1,.500,.500,1.250,T. JankowskiPR-RF,0,1,0,0,0,0,0,.000,.000,.000
J. AdellCF,3,0,1,0,0,0,1,.333,.333,.333,L. Sosa2B,4,1,1,2,1,0,0,.250,.250,1.000
bK. ParisPH,1,0,0,0,0,0,1,.000,.000,.000,K. LeeC,3,1,1,0,0,1,1,.333,.500,.333
K. NewmanSS,2,0,0,0,0,0,0,.000,.000,.000,J. AmayaSS,4,1,1,0,0,0,1,.250,.250,.250
aY. MoncadaPH-3B,0,0,0,0,0,1,0,.000,1.000,.000,M. TaylorLF,3,1,1,0,0,0,0,.333,.333,.333
team,32,1,5,1,1,2,10,,,,team,33,8,9,8,3,2,6,,,
S. KwanLF,4,1,2,1,0,0,0,.500,.500,.750,J. India3B-LF,5,0,0,0,0,0,0,.000,.000,.000
J. Ramirez3B,4,0,0,1,0,0,0,.000,.000,.000,B. Witt Jr.SS,5,1,1,0,0,0,3,.200,.200,.200
L. ThomasCF,5,0,1,0,0,0,0,.200,.200,.200,V. PasquantinoDH,4,1,2,3,1,0,0,.500,.500,1.500
C. Santana1B,4,2,1,0,0,1,1,.250,.400,.250,F. FerminPR-DH,0,1,0,0,0,0,0,.000,.000,.000
K. ManzardoDH,4,2,3,4,1,1,1,.750,.800,2.250,S. PerezC,4,0,1,0,0,0,2,.250,.250,.250
J. NoelRF,4,0,1,1,0,0,1,.250,.200,.250,M. Massey2B,3,0,1,1,0,0,0,.333,.250,.333
