,player,1_hits_count,2_hits_count,3_hits_count,4_hits_count,games_played
415,Luke Williams,4,2,0,0,18
416,Luken Baker,6,1,0,0,17
417,MJ Melendez,18,4,0,0,35
418,Maikel Garcia,37,17,3,0,57
419,Manny Machado,41,21,5,2,58
420,Manuel Margot,6,1,0,0,20
421,Marcell Ozuna,44,25,5,0,57
422,Marco Luciano,1,0,0,0,2
423,Marcus Semien,46,14,3,0,68
424,Mark Canha,12,3,0,0,28
425,Mark Vientos,41,14,0,0,60
426,Martin Maldonado,8,1,1,0,14
427,Masataka Yoshida,14,4,3,0,24
428,Mason McCoy,2,0,0,0,9
429,Masyn Winn,22,12,1,0,31
430,Matt Carpenter,5,0,0,0,12
431,Matt Chapman,28,14,3,0,47
432,Matt Duffy,2,0,0,0,2
433,Matt Gorski,2,0,0,0,6
434,Matt McLain,8,1,0,0,14
435,Matt Mervis,6,0,0,0,17
436,Matt Olson,38,12,2,0,63
437,Matt Shaw,5,1,0,0,7
438,Matt Thaiss,14,3,1,0,31
439,Matt Vierling,16,5,0,0,21
440,Matt Wallner,18,5,1,0,38
441,Matthew Lugo,2,0,0,0,3
442,Mauricio Dubon,20,9,1,0,44
443,Maverick Handley,0,0,0,0,1
444,Max Kepler,18,7,2,0,38
445,Max Muncy,34,15,3,0,81
446,Max Schuemann,21,7,1,0,48
447,Michael A. Taylor,14,2,2,0,40
448,Michael Busch,29,12,6,0,53
449,Michael Conforto,21,10,1,0,46
450,Michael Harris II,27,12,5,0,42
451,Michael Helman,1,0,0,0,2
452,Michael Massey,30,11,2,0,51
453,Michael Siani,7,2,0,0,26
454,Michael Stefanic,6,1,0,0,17
455,Michael Toglia,22,8,3,0,34
456,Mickey Gasper,3,2,0,0,16
457,Mickey Moniak,13,4,0,0,26
458,Miguel Amaya,26,11,3,1,41
459,Miguel Andujar,24,11,2,0,40
460,Miguel Rojas,22,5,2,0,37
461,Miguel Vargas,16,4,0,0,44
462,Mike Tauchman,9,3,1,0,25
463,Mike Trout,8,0,0,0,11
464,Mike Yastrzemski,32,13,2,0,45
465,Miles Mastrobuoni,13,3,0,0,27
466,Mitch Garver,13,6,2,0,32
467,Mitch Haniger,10,4,0,0,23
468,Moises Ballesteros,0,0,0,0,1
469,Mookie Betts,21,14,2,0,36
470,Myles Straw,8,2,0,0,26
471,Nasim Nunez,7,2,0,0,29
472,Nathan Lukes,19,7,2,1,32
473,Nathaniel Lowe,40,14,4,0,68
474,Nick Ahmed,6,2,0,0,14
475,Nick Allen,12,4,1,0,17
476,Nick Castellanos,26,12,2,0,38
477,Nick Fortes,13,5,1,0,24
478,Nick Gonzales,15,3,0,0,18
479,Nick Gordon,2,0,0,0,6
480,Nick Kurtz,6,1,0,0,8
481,Nick Loftin,2,0,0,0,7
482,Nick Martini,3,0,0,0,6
483,Nick Maton,6,0,0,0,17
484,Nick Sandlin,0,0,0,0,1
485,Nick Senzel,2,0,0,0,5
486,Nick Sogard,8,3,0,0,14
487,Nick Yorke,2,2,1,0,4
488,Nicky Lopez,10,3,0,0,27
489,Nico Hoerner,45,17,4,0,60
490,Niko Kavadas,8,4,1,0,17
491,Noelvi Marte,20,10,4,1,36
492,Nolan Arenado,23,7,2,0,33
493,Nolan Gorman,5,1,0,0,9
494,Nolan Jones,9,2,0,0,24
495,Nolan Schanuel,27,9,1,0,39
496,Oliver Dunn,3,0,0,0,4
497,Omar Narvaez,2,0,0,0,4
498,Oneil Cruz,21,10,2,1,36
499,Orlando Arcia,23,4,1,1,43
500,Oscar Gonzalez,3,1,0,0,7
501,Oswald Peraza,3,1,0,0,13
502,Oswaldo Cabrera,20,7,0,0,36
503,Otto Lopez,29,10,3,0,38
504,Ozzie Albies,22,7,1,0,34
505,Pablo Reyes,3,0,0,0,12
506,Parker Meadows,14,4,0,0,17
507,Patrick Bailey,19,10,1,0,36
508,Patrick Wisdom,3,0,0,0,17
509,Paul DeJong,15,6,2,0,40
510,Paul Goldschmidt,25,16,3,0,40
511,Pavin Smith,17,7,2,0,30
512,Pedro Leon,1,0,0,0,3
513,Pedro Pages,13,5,0,0,23
514,Pete Alonso,45,20,3,0,71
515,Pete Crow-Armstrong,30,12,5,1,51
